Id,NewId,Title,LogoUrl
SuperONE HD,SuperONE HD,SuperONE HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/superone.jpg
SzilasTv,SzilasTv,SzilasTv,
TeenNick,TeenNick,TeenNick,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/teennick.jpg
The Fishing &amp; Hunting HD,The Fishing &amp; Hunting HD,The Fishing &amp; Hunting HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/fishing_and_hunting.jpg
Tilos Rádió,Tilos Rádió,Tilos Rádió,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/tilos_radio.jpg
TLC,TLC,TLC,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/tlc.jpg
Travel HD,Travel HD,Travel HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/travel_channel.jpg
TV Paprika HD,TV Paprika HD,TV Paprika HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/tv_paprika.jpg
TV10,TV10,TV10,
TV13,TV13,TV13,
TV18,TV18,TV18,
TV2 Comedy,TV2 Comedy,TV2 Comedy,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/tv2_comedy.jpg
TV2 HD,TV2 HD,TV2 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/tv2.jpg
TV2 Kids,TV2 Kids,TV2 Kids,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/tv2_kids.jpg
TV2 Klub,TV2 Klub,TV2 Klub,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/tv2_klub.jpg
TV2 Séf,TV2 Séf,TV2 Séf,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/tv2_sef.jpg
TV2040,TV2040,TV2040,
TV4 HD,TV4 HD,TV4 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/tv4.jpg
TVE,TVE,TVE,
Ujbuda TV,Ujbuda TV,Ujbuda TV,
Viasat Explore,Viasat Explore,Viasat Explore,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/viasat_explore.jpg
VIASAT FILM,VIASAT FILM,VIASAT FILM,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/viasat_film.jpg
Viasat History HD,Viasat History HD,Viasat History HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/viasat_history.jpg
Viasat Nature HD,Viasat Nature HD,Viasat Nature HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/viasat_nature.jpg
VIASAT2,VIASAT2,VIASAT2,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/viasat_2.jpg
VIASAT3,VIASAT3,VIASAT3,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/viasat_3.jpg
VIASAT3 HD,VIASAT3 HD,VIASAT3 HD,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/viasat_3.jpg
VIASAT6,VIASAT6,VIASAT6,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/viasat_6.jpg
VOD Promo,VOD Promo,VOD Promo,
Volgyhid TV,Volgyhid TV,Volgyhid TV,
WilliamsTV,WilliamsTV,WilliamsTV,
XV. TV,XV. TV,XV. TV,
Zenebutik,Zenebutik,Zenebutik,https://raw.githubusercontent.com/SasSam/tv_channel_logos/refs/heads/main/jpg/zenebutik.jpg
Zuglo TV,Zuglo TV,Zuglo TV,
